Date,Open Price,Volume
24/07/1991,140.66,5988
25/07/1991,140.2,8390
26/07/1991,140.11,9279
29/07/1991,141.22,4771
30/07/1991,142.39,5601
31/07/1991,143.72,4051
1/08/1991,145.12,4731
2/08/1991,146.49,11744
5/08/1991,148.06,5126
6/08/1991,149.62,2001
7/08/1991,150.93,1107
8/08/1991,152.57,1951
9/08/1991,153.9,3715
12/08/1991,155.34,3919
13/08/1991,156.87,20039
14/08/1991,158.3,5480
15/08/1991,159.92,1537
16/08/1991,161.56,984
19/08/1991,163.21,985
20/08/1991,164.74,573
21/08/1991,166.49,3411
22/08/1991,167.81,1296
23/08/1991,169.81,605
26/08/1991,171.51,643
27/08/1991,173.06,796
28/08/1991,174.82,804
29/08/1991,176.53,2608
30/08/1991,178.2,6759
2/09/1991,180.08,1408
3/09/1991,181.71,1475
4/09/1991,183.66,650
5/09/1991,185.48,1514
6/09/1991,187.09,2765
9/09/1991,189.1,3552
10/09/1991,190.98,33434
11/09/1991,187.29,21392
12/09/1991,186.22,19699
13/09/1991,188,37434
16/09/1991,189.55,9933
17/09/1991,191.16,28829
18/09/1991,187.26,15822
19/09/1991,187.65,23439
20/09/1991,185.77,12075
23/09/1991,185,4034
24/09/1991,183.96,1426
25/09/1991,182.8,1389
26/09/1991,182.21,6541
27/09/1991,183.12,33728
30/09/1991,180.28,25594
3/10/1991,181.55,18741
4/10/1991,184.29,7360
7/10/1991,185.95,11369
8/10/1991,187.59,23745
9/10/1991,188.49,20989
10/10/1991,190.71,6638
11/10/1991,192.84,10981
14/10/1991,194.06,21493
15/10/1991,196.58,11002
16/10/1991,198.51,9562
17/10/1991,200.5,6077
18/10/1991,202.5,2968
21/10/1991,204.53,3537
22/10/1991,206.06,2128
23/10/1991,208.06,2623
24/10/1991,210.2,19357
25/10/1991,210.34,32650
28/10/1991,213.5,3217
29/10/1991,215.63,2697
30/10/1991,216.37,2380
31/10/1991,218.59,3929
1/11/1991,220.71,5906
4/11/1991,222.77,4474
5/11/1991,224.44,2805
6/11/1991,226.83,2848
7/11/1991,228.93,4833
8/11/1991,230.99,14406
11/11/1991,233.48,2474
12/11/1991,235.75,895
13/11/1991,236.51,799
14/11/1991,237.39,862
15/11/1991,238.25,2058
18/11/1991,240.04,1885
19/11/1991,242.24,2310
20/11/1991,244.5,2325
21/11/1991,246.26,2155
22/11/1991,248.24,2133
25/11/1991,250.84,2331
26/11/1991,252.9,2454
27/11/1991,255.27,2120
28/11/1991,257.28,2502
29/11/1991,259.68,33695
2/12/1991,261.78,19128
3/12/1991,264.64,1101
4/12/1991,265.53,742
5/12/1991,266.48,2050
6/12/1991,269.34,1613
9/12/1991,270.27,1631
10/12/1991,270.27,516
11/12/1991,273.53,669
12/12/1991,274.41,1577
13/12/1991,276.81,746
16/12/1991,277.53,580
17/12/1991,278.67,493
18/12/1991,279.32,760
19/12/1991,279.98,1094
20/12/1991,282.83,4393
23/12/1991,285.65,1046
24/12/1991,285.74,486
25/12/1991,287.09,573
26/12/1991,288.03,1168
27/12/1991,290.65,1551
30/12/1991,291.71,1165
31/12/1991,292.48,584
2/01/1992,293.74,928
3/01/1992,296.24,1436
6/01/1992,297.68,3400
7/01/1992,298.54,892
8/01/1992,299.65,659
9/01/1992,300.61,943
10/01/1992,301.82,1605
13/01/1992,302.83,725
14/01/1992,304.77,632
15/01/1992,306.62,259
16/01/1992,306.85,378
17/01/1992,307.37,250
20/01/1992,307.38,445
21/01/1992,307.87,534
22/01/1992,307.95,312
23/01/1992,308.53,413
24/01/1992,309.05,722
27/01/1992,311.6,562
28/01/1992,311.67,664
29/01/1992,312.41,401
30/01/1992,312.73,391
31/01/1992,313.24,354
3/02/1992,314.18,305
7/02/1992,314.72,327
10/02/1992,315.55,354
11/02/1992,316.12,296
12/02/1992,316.43,270
13/02/1992,317.24,1020
14/02/1992,319.45,457
17/02/1992,319.77,6369
18/02/1992,338.98,7407
19/02/1992,340.5,9401
20/02/1992,345.22,10341
21/02/1992,358.91,11582
24/02/1992,361.11,30157
25/02/1992,359.66,4862
26/02/1992,359.85,5753
27/02/1992,361,9524
28/02/1992,364.15,9862
2/03/1992,365.15,3405
3/03/1992,366.79,2989
4/03/1992,367.56,5614
5/03/1992,369.31,8360
6/03/1992,370.79,5237
9/03/1992,372.26,20968
10/03/1992,374.48,5011
11/03/1992,375.87,4001
12/03/1992,377.55,10326
13/03/1992,376.58,2527
16/03/1992,377,2646
17/03/1992,377.5,890
18/03/1992,377.94,4028
19/03/1992,377.26,13628
20/03/1992,377.91,3160
23/03/1992,378.61,10290
24/03/1992,378.53,4378
25/03/1992,378.33,11820
26/03/1992,379.29,10225
27/03/1992,379.65,1892
30/03/1992,381.54,12655
31/03/1992,381.87,17391
1/04/1992,381.55,4065
2/04/1992,381.47,1673
3/04/1992,381.44,1700
6/04/1992,381.97,5298
7/04/1992,381.95,10613
8/04/1992,382.53,1866
9/04/1992,381.93,3168
10/04/1992,381.52,7066
13/04/1992,387.27,20593
14/04/1992,393.1,9415
15/04/1992,400.35,10566
16/04/1992,404.07,39211
17/04/1992,408.56,15678
20/04/1992,417.19,10170
21/04/1992,417.99,51257
22/04/1992,400.12,50596
23/04/1992,407.13,54718
24/04/1992,405.88,34706
27/04/1992,422.45,37257
28/04/1992,434.9,42392
29/04/1992,445.25,52899
30/04/1992,435.73,45704
4/05/1992,454.86,64362
5/05/1992,447.42,49359
6/05/1992,449.78,33687
7/05/1992,452.86,34414
8/05/1992,461.05,48634
11/05/1992,483.29,30950
12/05/1992,502.8,33278
13/05/1992,505.27,33897
14/05/1992,514.48,33010
15/05/1992,529.39,63283
18/05/1992,560.09,29992
19/05/1992,590.41,47790
20/05/1992,617.28,65646
21/05/1992,1260.32,89657
22/05/1992,1306.37,93725
25/05/1992,1411.98,88969
26/05/1992,1332.39,68128
27/05/1992,1250.56,64528
28/05/1992,1123.04,48389
29/05/1992,1243.65,51615
1/06/1992,1175.69,39394
2/06/1992,1155.88,34033
3/06/1992,1075.9,41002
4/06/1992,1087.49,43184
5/06/1992,1125.01,44007
8/06/1992,1092.07,28747
9/06/1992,1116.92,35100
10/06/1992,1199.23,58732
11/06/1992,1179.28,34897
12/06/1992,1164.12,47202
15/06/1992,1174.41,37747
16/06/1992,1171.75,35158
17/06/1992,1171.29,34755
18/06/1992,1167.16,29101
19/06/1992,1169.97,25146
22/06/1992,1173.68,27924
23/06/1992,1162.83,19490
24/06/1992,1150.89,16975
25/06/1992,1153.48,19846
26/06/1992,1164.29,29061
29/06/1992,1168.89,53610
30/06/1992,1186.62,58976
1/07/1992,1199.54,58330
2/07/1992,1187.3,46512
3/07/1992,1189.09,75245
6/07/1992,1197.76,63782
7/07/1992,1201.01,68826
8/07/1992,1192.37,68043
9/07/1992,1172.44,53216
10/07/1992,1175.14,58149
13/07/1992,1156.83,51595
14/07/1992,1124.65,44462
15/07/1992,1107.18,44812
16/07/1992,1114.13,50464
17/07/1992,1121.49,62671
20/07/1992,1100.6,31699
21/07/1992,1087.61,35912
22/07/1992,1059.22,47347
23/07/1992,1020.07,77014
24/07/1992,1165.89,57155
27/07/1992,1169.42,59560
28/07/1992,1126.88,78387
29/07/1992,1078.31,68987
30/07/1992,1067.45,99108
31/07/1992,1045.67,87149
3/08/1992,1034.7,60103
4/08/1992,1018.3,52472
5/08/1992,1015.76,61146
6/08/1992,988.38,72555
7/08/1992,1003.22,78256
10/08/1992,992.73,81781
11/08/1992,926.81,106999
12/08/1992,675,144831
13/08/1992,797.17,115594
14/08/1992,857.1,104407
17/08/1992,898.66,113357
18/08/1992,954.89,148494
19/08/1992,920.66,75952
20/08/1992,930.7,160565
21/08/1992,916.99,170567
24/08/1992,888.95,99347
25/08/1992,868.1,84662
26/08/1992,841.42,126153
27/08/1992,874.75,54258
28/08/1992,851.6,74884
31/08/1992,833.5,54296
1/09/1992,826.96,78694
2/09/1992,803.83,93924
3/09/1992,749.22,163730
4/09/1992,759.54,98772
7/09/1992,745.69,87105
8/09/1992,653.36,100634
9/09/1992,613.44,111908
10/09/1992,643.21,113109
11/09/1992,773.22,117294
14/09/1992,762.82,137270
15/09/1992,727.11,119373
16/09/1992,762.29,143926
17/09/1992,770.65,94181
18/09/1992,715.89,61707
21/09/1992,740.97,81728
22/09/1992,730.71,69552
23/09/1992,719.41,65590
24/09/1992,720.51,77787
25/09/1992,730.28,76536
28/09/1992,724.45,42557
29/09/1992,719.99,64830
30/09/1992,703.63,89778
5/10/1992,676.47,94116
6/10/1992,682.92,71613
7/10/1992,676.56,53830
8/10/1992,648.96,84532
9/10/1992,664.44,93947
12/10/1992,687.45,110752
13/10/1992,694.1,112238
14/10/1992,661.07,105525
15/10/1992,654.33,75758
16/10/1992,664,68851
19/10/1992,643.8,81039
20/10/1992,634.43,94609
21/10/1992,597.15,91927
22/10/1992,557.03,138728
23/10/1992,534.41,114981
26/10/1992,539.5,125657
27/10/1992,465.75,141388
28/10/1992,466.73,116311
29/10/1992,468.72,124059
30/10/1992,494.66,146510
2/11/1992,471.18,126226
3/11/1992,481.34,125543
4/11/1992,474.82,128590
5/11/1992,460.96,95464
6/11/1992,460.54,73791
9/11/1992,439.81,95622
10/11/1992,404.49,124661
11/11/1992,402.79,104914
12/11/1992,408.42,121120
13/11/1992,418.49,116763
16/11/1992,402.02,107074
17/11/1992,390.09,100762
18/11/1992,400.01,93285
19/11/1992,409.61,115030
20/11/1992,394.9,86477
23/11/1992,404.05,133314
24/11/1992,414.84,175095
25/11/1992,485.16,302928
26/11/1992,674.74,387633
27/11/1992,593.68,266915
30/11/1992,682.08,370655
1/12/1992,718.99,215404
2/12/1992,694.88,181421
3/12/1992,760.65,301014
4/12/1992,833.23,305753
7/12/1992,765.87,250742
8/12/1992,796.63,433660
9/12/1992,737.94,276204
10/12/1992,668.46,227439
11/12/1992,664.61,307490
14/12/1992,741.06,188141
15/12/1992,699.83,141703
16/12/1992,671.45,121331
17/12/1992,689.14,116802
18/12/1992,715.72,102336
21/12/1992,709.87,277037
22/12/1992,731.58,183322
23/12/1992,723.84,113159
24/12/1992,731.55,166752
25/12/1992,768.68,261687
28/12/1992,764.43,152167
29/12/1992,759.54,149864
30/12/1992,775.07,152735
31/12/1992,765.86,135511
4/01/1993,784.13,183850
5/01/1993,813.34,340098
6/01/1993,881,402871
7/01/1993,855.8,268447
8/01/1993,882.57,373432
11/01/1993,913.44,638851
12/01/1993,1001.93,624399
13/01/1993,996.41,395307
14/01/1993,1053.91,638404
15/01/1993,1083.6,466303
18/01/1993,1067.98,338369
19/01/1993,1053.52,332610
20/01/1993,990.09,258376
21/01/1993,1051.6,301864
22/01/1993,1074.36,325643
27/01/1993,1126.37,472632
28/01/1993,1182.39,460101
29/01/1993,1156.84,520097
1/02/1993,1242.35,683441
2/02/1993,1292.4,614413
3/02/1993,1321.63,560566
4/02/1993,1323.13,556916
5/02/1993,1371.34,651564
8/02/1993,1339.59,622541
9/02/1993,1427.33,764792
10/02/1993,1500.52,788796
11/02/1993,1495.92,731658
12/02/1993,1378.2,853779
15/02/1993,1544.1,716437
16/02/1993,1555.15,493707
17/02/1993,1515.25,374017
18/02/1993,1503.72,442316
19/02/1993,1471.56,504569
22/02/1993,1487.84,477999
23/02/1993,1420.63,471463
24/02/1993,1310.04,720960
25/02/1993,1271.2,595583
26/02/1993,1436.99,650262
1/03/1993,1328.22,425901
2/03/1993,1207.57,399956
3/03/1993,1263.74,193539
4/03/1993,1231.92,277967
5/03/1993,1116.41,484992
8/03/1993,1133.52,759314
9/03/1993,1160.13,391658
10/03/1993,1099.52,301790
11/03/1993,1219.47,448178
12/03/1993,1280.37,402110
15/03/1993,1226.66,256755
16/03/1993,1167.91,243174
17/03/1993,1238.8,165707
18/03/1993,1203.2,176715
19/03/1993,1188.37,263663
22/03/1993,1148.29,377138
23/03/1993,1035.6,350248
24/03/1993,965.58,220169
25/03/1993,963.53,219465
26/03/1993,969.24,512568
29/03/1993,1008.4,244217
30/03/1993,973.08,271616
31/03/1993,953.29,235056
1/04/1993,921.59,138294
2/04/1993,953.51,184978
5/04/1993,945.58,180060
6/04/1993,949.81,538943
7/04/1993,1108.64,1019684
8/04/1993,1099.62,1044269
9/04/1993,1322.07,1069085
12/04/1993,1254.62,638958
13/04/1993,1204.75,668121
14/04/1993,1304.33,880809
15/04/1993,1265.3,597305
16/04/1993,1282.79,651470
19/04/1993,1203.85,478577
20/04/1993,1257.1,450074
21/04/1993,1234.71,280275
22/04/1993,1227.1,344892
23/04/1993,1288.51,556849
26/04/1993,1298.92,774385
27/04/1993,1379.43,911528
28/04/1993,1371.1,688094
29/04/1993,1377.04,502554
30/04/1993,1341.54,399490
3/05/1993,1365.15,595189
4/05/1993,1352.08,712924
5/05/1993,1232.65,460096
6/05/1993,1250.39,465678
7/05/1993,1194.26,432208
10/05/1993,1216.72,397381
11/05/1993,1124.85,241421
12/05/1993,1138.52,248629
13/05/1993,1140.21,193316
14/05/1993,1180.46,257025
17/05/1993,1162.07,194832
18/05/1993,1140.04,194902
19/05/1993,1129.1,117362
20/05/1993,1148.56,243879
21/05/1993,1177.3,153564
24/05/1993,1136.29,386972
25/05/1993,1020.32,301064
26/05/1993,1003.89,202565
27/05/1993,1001.19,253022
28/05/1993,962.21,218419
31/05/1993,975.05,341908
1/06/1993,935.9,275858
2/06/1993,958.61,998846
3/06/1993,1102.08,1103748
4/06/1993,1024.74,501040
7/06/1993,1006.26,449563
8/06/1993,1094.11,1012363
9/06/1993,1071.33,454705
10/06/1993,1069.36,323044
11/06/1993,1043.94,279582
14/06/1993,1046.07,421872
15/06/1993,998.7,233735
16/06/1993,1004.4,150297
17/06/1993,998.21,134334
18/06/1993,994.2,148634
21/06/1993,1003.98,175266
22/06/1993,972.1,163053
23/06/1993,981.4,136034
24/06/1993,985.62,137405
25/06/1993,979.93,224396
28/06/1993,1006.63,328364
29/06/1993,1008.23,832428
30/06/1993,1037.89,580651
1/07/1993,1000.8,399043
2/07/1993,995.7,264050
5/07/1993,976.67,286417
6/07/1993,938.42,326224
7/07/1993,897.22,233996
8/07/1993,904.46,120236
9/07/1993,896.16,174936
12/07/1993,855.5,433849
13/07/1993,853.66,284326
14/07/1993,870.05,308157
15/07/1993,833.89,179234
16/07/1993,841.62,190163
19/07/1993,846.87,336058
20/07/1993,835.79,194281
21/07/1993,809.53,162937
22/07/1993,812.1,148959
23/07/1993,816.08,202724
26/07/1993,810.07,245459
27/07/1993,788.19,148110
28/07/1993,792.88,439473
29/07/1993,801.16,259667
30/07/1993,810.09,1222136
2/08/1993,885.31,1327101
3/08/1993,842.29,307480
4/08/1993,833.4,343278
5/08/1993,853.71,538329
6/08/1993,841.39,524069
9/08/1993,866.65,1088235
10/08/1993,897.46,1438811
11/08/1993,862.4,435531
12/08/1993,896.74,1015689
13/08/1993,929.42,1332467
16/08/1993,969.9,1432882
17/08/1993,1042.42,1542719
18/08/1993,974.11,642828
19/08/1993,944.58,448297
20/08/1993,973,451256
23/08/1993,933.72,497704
24/08/1993,878.09,342213
25/08/1993,904.74,285673
26/08/1993,913.27,170181
27/08/1993,903.47,411332
30/08/1993,901.09,231770
31/08/1993,895.76,169092
1/09/1993,898.01,245553
2/09/1993,894.27,171555
3/09/1993,907.89,323168
6/09/1993,940.46,497809
7/09/1993,947.12,345944
8/09/1993,907.98,263978
9/09/1993,911.95,237052
10/09/1993,887.83,171504
13/09/1993,895.62,295061
14/09/1993,875.14,138936
15/09/1993,876.38,100191
16/09/1993,885.02,114538
17/09/1993,874.51,142359
20/09/1993,875.97,177122
21/09/1993,875.13,266000
22/09/1993,891.05,179432
23/09/1993,882.68,172349
24/09/1993,873.16,467085
27/09/1993,876.61,312158
28/09/1993,886.11,559591
29/09/1993,904.76,488694
30/09/1993,887.13,524829
4/10/1993,895.69,563428
5/10/1993,894.37,357402
6/10/1993,886.33,436478
7/10/1993,887,1618615
8/10/1993,897.72,1195029
11/10/1993,872.95,635130
12/10/1993,868.48,554009
13/10/1993,874.36,607545
14/10/1993,858.33,417466
15/10/1993,855.67,268426
18/10/1993,852.82,554465
19/10/1993,839.2,576583
20/10/1993,843.58,691591
21/10/1993,846.25,742611
22/10/1993,827.75,1056350
25/10/1993,792.78,813707
26/10/1993,789.25,995521
27/10/1993,787.79,901031
28/10/1993,779.64,1160734
29/10/1993,834.51,999240
1/11/1993,801.86,646971
2/11/1993,821.85,549003
3/11/1993,812.63,571874
4/11/1993,804.66,504402
5/11/1993,804.26,518531
8/11/1993,833.26,818185
9/11/1993,840.89,679881
10/11/1993,848.45,1169090
11/11/1993,836.55,1114973
12/11/1993,858.2,983109
15/11/1993,875.8,1354358
16/11/1993,890.92,1278614
17/11/1993,881.93,1062975
18/11/1993,895.69,877493
19/11/1993,907.41,1620731
22/11/1993,924.67,1884341
23/11/1993,955.82,2135691
24/11/1993,955.24,1893822
25/11/1993,959.9,2354818
26/11/1993,986.69,1918993
29/11/1993,968.44,1386637
30/11/1993,984.54,1603177
1/12/1993,993.67,1217881
2/12/1993,974.35,778228
3/12/1993,975.65,806229
6/12/1993,986.12,2062968
7/12/1993,1006.7,2402835
8/12/1993,1044.85,2223643
9/12/1993,1016.78,1246421
10/12/1993,986.02,1284583
13/12/1993,982.38,986699
14/12/1993,942.01,920584
15/12/1993,926.05,988407
16/12/1993,941.43,979969
17/12/1993,884.47,902744
20/12/1993,823.77,1319581
21/12/1993,786.82,1239165
22/12/1993,837.54,2060196
23/12/1993,820.54,1031247
24/12/1993,841.66,918481
27/12/1993,841.49,1004940
28/12/1993,851.38,1438026
29/12/1993,839.56,937012
30/12/1993,819.14,739747
31/12/1993,829.16,697063
3/01/1994,837.7,1010056
4/01/1994,835.97,652743
5/01/1994,829.3,894121
6/01/1994,850.78,1845117
7/01/1994,875.18,1686884
10/01/1994,891.99,1875951
11/01/1994,903.54,1368500
12/01/1994,891.83,1274299
13/01/1994,889.02,807921
14/01/1994,900.13,2429254
17/01/1994,861.34,1083501
18/01/1994,859.3,952694
19/01/1994,835.08,961660
20/01/1994,791,897650
21/01/1994,800.55,831843
24/01/1994,830.16,1252907
25/01/1994,838.06,1397286
26/01/1994,828.34,854492
27/01/1994,813.54,387437
28/01/1994,818.32,968163
31/01/1994,781.54,812960
1/02/1994,770.25,491702
2/02/1994,753.1,582879
3/02/1994,775.2,1066853
4/02/1994,784.06,1419538
14/02/1994,813.95,1149078
15/02/1994,775.85,643441
16/02/1994,775.14,538945
17/02/1994,773.67,514818
18/02/1994,768.13,430361
21/02/1994,769.94,449855
22/02/1994,751.68,647103
23/02/1994,768.52,402096
24/02/1994,761.41,1472418
25/02/1994,767.57,2347516
28/02/1994,785.82,2850034
1/03/1994,771.52,1227367
2/03/1994,755.53,1291178
3/03/1994,739.39,1002258
4/03/1994,729.14,1135285
7/03/1994,718.35,307824
8/03/1994,721.65,1712448
9/03/1994,715.87,2695066
10/03/1994,717.72,2940279
11/03/1994,700.32,3169069
14/03/1994,774.77,4827181
15/03/1994,800.76,4687746
16/03/1994,767.66,3699463
17/03/1994,805.41,3455372
18/03/1994,777.05,2566185
21/03/1994,755.86,1679037
22/03/1994,726.16,1309988
23/03/1994,739.38,1986507
24/03/1994,725.2,2825216
25/03/1994,732.61,2314904
28/03/1994,702.42,1986218
29/03/1994,706.37,2201980
30/03/1994,710.35,2023568
31/03/1994,709.91,2496753
1/04/1994,704.93,1654987
4/04/1994,698.19,2181421
5/04/1994,695.2,1503539
6/04/1994,682.23,1097687
7/04/1994,678.11,1188220
8/04/1994,678.13,914266
11/04/1994,668.85,1173086
12/04/1994,655.34,1078185
13/04/1994,673.6,1548426
14/04/1994,651.82,1630720
15/04/1994,630.57,2369345
18/04/1994,619.51,1587921
19/04/1994,597.78,1710162
20/04/1994,560.79,1814450
21/04/1994,536.34,2191990
22/04/1994,586.83,3213060
25/04/1994,566.63,1931556
26/04/1994,565.47,1423889
27/04/1994,590.99,2916956
28/04/1994,605.98,3579686
29/04/1994,598.35,2604835
3/05/1994,593.94,1400761
4/05/1994,615.81,2380003
5/05/1994,608.36,1907679
6/05/1994,589.23,1776204
9/05/1994,587.94,1749043
10/05/1994,584.77,1716041
11/05/1994,603.27,2548720
12/05/1994,586.15,1844336
13/05/1994,582.51,1466810
16/05/1994,597.12,2653975
17/05/1994,592.29,1637435
18/05/1994,590.32,1945166
19/05/1994,578.8,1231949
20/05/1994,592.38,2057304
23/05/1994,594.52,1585670
24/05/1994,586.5,1047124
25/05/1994,591.23,1076634
26/05/1994,586.09,1099491
27/05/1994,572.97,1299107
30/05/1994,565.63,6412940
31/05/1994,538.45,3108228
1/06/1994,554.08,2250024
2/06/1994,543.3,1835763
3/06/1994,547.21,1757666
6/06/1994,549.03,1169550
7/06/1994,541.16,586253
8/06/1994,526.4,805043
9/06/1994,534.24,931669
10/06/1994,519.84,784703
13/06/1994,505.54,707644
14/06/1994,492.45,751739
15/06/1994,492.84,829897
16/06/1994,498.11,797724
17/06/1994,509.09,1842022
20/06/1994,523.37,1858213
21/06/1994,498.56,636656
22/06/1994,499.14,556087
23/06/1994,507.03,624638
24/06/1994,499.91,599505
27/06/1994,483.45,661367
28/06/1994,470.54,387833
29/06/1994,472.48,343038
30/06/1994,466.35,475173
1/07/1994,469.27,528995
4/07/1994,446.23,519699
5/07/1994,437.64,438989
6/07/1994,444.59,562537
7/07/1994,428.3,441382
8/07/1994,426.25,596502
11/07/1994,436.54,660753
12/07/1994,427.62,322477
13/07/1994,430.55,461652
14/07/1994,437.53,790636
15/07/1994,431.01,696118
18/07/1994,405.61,450040
19/07/1994,398.9,388639
20/07/1994,401.98,334605
21/07/1994,390.94,519747
22/07/1994,378.19,782751
25/07/1994,357.4,940691
26/07/1994,376.76,1693893
27/07/1994,387.81,1834646
28/07/1994,366.55,1280774
29/07/1994,335.45,1183388
1/08/1994,394.87,6203991
2/08/1994,451.18,9188949
3/08/1994,438.52,8344837
4/08/1994,558.69,17575994
5/08/1994,579.47,17730586
8/08/1994,720.48,15876782
9/08/1994,715.54,9620500
10/08/1994,619.34,14283869
11/08/1994,765.32,16929738
12/08/1994,676.07,7254857
15/08/1994,671.1,4551259
16/08/1994,670,7200028
17/08/1994,703.88,5418758
18/08/1994,734.84,13240724
19/08/1994,750.67,8427972
22/08/1994,680.07,4689260
23/08/1994,694.71,4099113
24/08/1994,718.61,5104219
25/08/1994,704.47,4022221
26/08/1994,728.26,4949756
29/08/1994,716.87,3753917
30/08/1994,715.45,8119895
31/08/1994,771.33,10734819
1/09/1994,785.61,8635737
2/09/1994,796.69,6685557
5/09/1994,871.16,18384264
6/09/1994,973.28,14313953
7/09/1994,977.3,11867308
8/09/1994,967.9,7921545
9/09/1994,982.43,8833818
12/09/1994,996.68,8087496
13/09/1994,1036.84,10204500
14/09/1994,1040.95,8062620
15/09/1994,985.33,4641504
16/09/1994,983.79,5237974
19/09/1994,944.25,4141982
20/09/1994,922.8,3326539
21/09/1994,928.75,3536784
22/09/1994,974.21,4560400
23/09/1994,908.75,4166424
26/09/1994,856.17,2765866
27/09/1994,880.69,2366061
28/09/1994,881.14,3719895
29/09/1994,921.81,3624128
30/09/1994,811.83,3668769
5/10/1994,770.9,3261098
6/10/1994,731.65,2837029
7/10/1994,638.32,6343069
10/10/1994,678.02,5216786
11/10/1994,712.03,2284055
12/10/1994,712.39,2136533
13/10/1994,706.76,3638977
14/10/1994,608.07,3270027
17/10/1994,617.9,1350710
18/10/1994,625.49,898639
19/10/1994,631.34,1934321
20/10/1994,663.31,4762116
21/10/1994,730.97,6549282
24/10/1994,741.05,6031524
25/10/1994,794.57,5659518
26/10/1994,725.94,3347931
27/10/1994,682.02,1905228
